# generator: homm3.vc6.atlas
# date: 2026-08-09
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - regenerate, never hand-edit
# subject: C2.DLL sha256=a0cc45f83fd0ed009aa4f43df5598105a1049ad9675de0b1089be7cce7d3c153 size=737329 (12.00.8447, image base 0x10700000)
# every referenced address in the back-end state sections
# .bssbe (zero-init) and .databe (init). size = widest direct
# access seen (0 = only address-taken/indexed). n_readers
# counts address-taken as a read; writer_tus joins writers
# through c2-tu-map.tsv (prevTU|nextTU where ambiguous).
rva	section	size	n_readers	n_writers	writer_tus
0x99000	.bssbe	4	1	1	?|MDmisc.c
0x99004	.bssbe	4	0	1	?|MDmisc.c
0x99008	.bssbe	4	1	0	-
0x9900c	.bssbe	4	7	0	-
0x99010	.bssbe	4	3	4	?|MDmisc.c;ehexcept.c|regasg.c
0x99014	.bssbe	4	4	1	?|MDmisc.c
0x99018	.bssbe	4	2	1	?|MDmisc.c
0x9901c	.bssbe	4	1	1	?|MDmisc.c
0x99020	.bssbe	4	10	4	?|MDmisc.c;ehexcept.c|regasg.c
0x99024	.bssbe	4	2	1	?|MDmisc.c
0x99028	.bssbe	4	8	9	?|MDmisc.c;code.c
0x9902c	.bssbe	4	2	1	?|MDmisc.c
0x99030	.bssbe	4	3	1	?|MDmisc.c
0x99034	.bssbe	4	7	1	?|MDmisc.c
0x99038	.bssbe	4	0	1	?|MDmisc.c
0x9903c	.bssbe	4	12	10	?|MDmisc.c;lowerflt.c
0x99040	.bssbe	4	12	2	?|MDmisc.c;lowerflt.c
0x99044	.bssbe	4	1	1	?|MDmisc.c
0x99048	.bssbe	0	1	0	-
0x99060	.bssbe	1	1	1	cgintrin.c
0x99061	.bssbe	1	0	1	cgintrin.c
0x99062	.bssbe	1	0	1	cgintrin.c
0x99063	.bssbe	1	0	1	cgintrin.c
0x99064	.bssbe	4	1	1	cgintrin.c
0x99065	.bssbe	1	0	1	cgintrin.c
0x99066	.bssbe	1	0	1	cgintrin.c
0x99068	.bssbe	4	0	1	cgintrin.c
0x99069	.bssbe	1	0	1	cgintrin.c
0x99074	.bssbe	4	1	1	cgintrin.c
0x990d0	.bssbe	4	6	3	?|MDmisc.c;ehgen.c
0x990d4	.bssbe	4	6	2	?|MDmisc.c
0x990d8	.bssbe	4	6	1	?|MDmisc.c
0x990dc	.bssbe	4	4	1	?|MDmisc.c
0x990e0	.bssbe	4	10	6	?|MDmisc.c;fppeeps.c
0x990e4	.bssbe	4	0	1	?|MDmisc.c
0x990e8	.bssbe	4	11	0	-
0x990ec	.bssbe	4	2	0	-
0x99100	.bssbe	4	0	4	?|MDmisc.c;fppeeps.c
0x99104	.bssbe	4	4	4	?|MDmisc.c;fppeeps.c
0x99108	.bssbe	4	1	1	fppeeps.c
0x99128	.bssbe	4	2	1	?|MDmisc.c
0x9912c	.bssbe	4	1	1	?|MDmisc.c
0x99164	.bssbe	0	1	0	-
0x99168	.bssbe	4	2	6	?|MDmisc.c;fppeeps.c
0x99170	.bssbe	0	3	0	-
0x991c8	.bssbe	2	2	2	schedmd.c
0x991d0	.bssbe	2	1	1	?|MDmisc.c
0x991d2	.bssbe	2	1	1	?|MDmisc.c
0x991d4	.bssbe	2	0	1	?|MDmisc.c
0x991d8	.bssbe	4	6	4	?|MDmisc.c;fppeeps.c|schedmd.c
0x991dc	.bssbe	2	0	1	?|MDmisc.c
0x991de	.bssbe	2	0	1	?|MDmisc.c
0x991e0	.bssbe	2	0	1	?|MDmisc.c
0x991e4	.bssbe	4	3	4	?|MDmisc.c;fppeeps.c|schedmd.c
0x991f0	.bssbe	4	4	0	-
0x99200	.bssbe	4	1	1	?|MDmisc.c
0x99204	.bssbe	4	3	1	?|MDmisc.c
0x9920c	.bssbe	4	1	1	?|MDmisc.c
0x99210	.bssbe	4	3	2	schedmd.c;schedmd.c|finlower.c
0x99214	.bssbe	4	1	2	?|MDmisc.c;fppeeps.c|schedmd.c
0x99218	.bssbe	4	10	1	?|MDmisc.c
0x9921c	.bssbe	4	1	1	?|MDmisc.c
0x99220	.bssbe	4	0	1	?|MDmisc.c
0x99224	.bssbe	2	4	1	?|MDmisc.c
0x99228	.bssbe	4	2	1	?|MDmisc.c
0x9922c	.bssbe	4	0	1	?|MDmisc.c
0x99250	.bssbe	2	2	1	?|MDmisc.c
0x99252	.bssbe	2	0	1	?|MDmisc.c
0x99254	.bssbe	4	1	1	?|MDmisc.c
0x99258	.bssbe	4	3	1	schedmd.c|finlower.c
0x9925c	.bssbe	4	1	1	schedmd.c|finlower.c
0x99278	.bssbe	4	6	2	?|MDmisc.c;fppeeps.c|schedmd.c
0x9927c	.bssbe	2	2	2	schedmd.c;schedmd.c|finlower.c
0x99280	.bssbe	4	1	2	?|MDmisc.c;main.c
0x99284	.bssbe	4	1	1	p2symtab.c
0x99288	.bssbe	4	1	0	-
0x9928c	.bssbe	4	2	3	?|MDmisc.c;getflags.c|?
0x99290	.bssbe	4	2	3	?|MDmisc.c;getflags.c|?
0x99298	.bssbe	4	16	2	?|MDmisc.c;main.c
0x9929c	.bssbe	2	1	1	?|MDmisc.c
0x992a0	.bssbe	4	1	2	?|MDmisc.c;main.c
0x992a4	.bssbe	4	2	2	?|MDmisc.c;main.c
0x992a8	.bssbe	4	2	2	?|MDmisc.c;main.c
0x992ac	.bssbe	2	1	1	?|MDmisc.c
0x992b0	.bssbe	4	3	2	?|MDmisc.c
0x992b4	.bssbe	4	1	2	?|MDmisc.c;main.c
0x992b8	.bssbe	4	2	2	?|MDmisc.c;main.c
0x992bc	.bssbe	4	16	4	?|MDmisc.c
0x992c0	.bssbe	4	2	2	?|MDmisc.c
0x992c4	.bssbe	4	1	2	?|MDmisc.c;main.c
0x992c8	.bssbe	4	2	1	?|MDmisc.c
0x992cc	.bssbe	4	2	2	?|MDmisc.c
0x992d0	.bssbe	4	1	2	?|MDmisc.c;main.c
0x992d4	.bssbe	4	3	2	?|MDmisc.c
0x992d8	.bssbe	4	18	2	?|MDmisc.c;main.c
0x992dc	.bssbe	4	1	2	?|MDmisc.c;main.c
0x992e0	.bssbe	4	0	1	?|MDmisc.c
0x992e4	.bssbe	4	3	2	?|MDmisc.c
0x992e8	.bssbe	2	1	1	?|MDmisc.c
0x992ec	.bssbe	4	3	2	?|MDmisc.c
0x992f0	.bssbe	4	1	2	?|MDmisc.c;coff.c
0x992f4	.bssbe	4	0	1	?|MDmisc.c
0x992f8	.bssbe	4	3	3	?|MDmisc.c
0x992fc	.bssbe	4	7	2	?|MDmisc.c;main.c
0x99300	.bssbe	4	1	1	?|MDmisc.c
0x99304	.bssbe	4	1	1	?|MDmisc.c
0x99308	.bssbe	4	3	2	?|MDmisc.c;main.c
0x9930c	.bssbe	4	2	2	?|MDmisc.c;main.c
0x99310	.bssbe	4	1	2	?|MDmisc.c;main.c
0x99314	.bssbe	4	1	2	?|MDmisc.c;main.c
0x99318	.bssbe	4	1	2	?|MDmisc.c;main.c
0x9931c	.bssbe	4	2	1	?|MDmisc.c
0x99320	.bssbe	4	1	2	?|MDmisc.c;main.c
0x99324	.bssbe	4	1	2	?|MDmisc.c;main.c
0x99328	.bssbe	4	2	2	?|MDmisc.c;main.c
0x9932c	.bssbe	4	1	1	?|MDmisc.c
0x99330	.bssbe	4	3	2	?|MDmisc.c;main.c
0x99338	.bssbe	4	2	1	?|MDmisc.c
0x9933c	.bssbe	4	0	1	?|MDmisc.c
0x99400	.bssbe	0	2	0	-
0x99440	.bssbe	4	13	0	-
0x99444	.bssbe	4	1	0	-
0x99448	.bssbe	4	1	0	-
0x99450	.bssbe	4	4	0	-
0x99454	.bssbe	4	1	0	-
0x99458	.bssbe	4	1	0	-
0x9945c	.bssbe	4	1	1	?|MDmisc.c
0x99460	.bssbe	4	0	2	?|MDmisc.c;misc.c|hash.c
0x99468	.bssbe	4	1	1	?|MDmisc.c
0x9946c	.bssbe	4	1	1	?|MDmisc.c
0x99470	.bssbe	4	1	2	?|MDmisc.c
0x99474	.bssbe	4	4	1	?|MDmisc.c
0x9947c	.bssbe	4	6	1	?|MDmisc.c
0x99480	.bssbe	4	3	1	?|MDmisc.c
0x99484	.bssbe	0	1	0	-
0x99610	.bssbe	4	5	1	?|MDmisc.c
0x99614	.bssbe	4	3	1	?|MDmisc.c
0x99618	.bssbe	4	2	1	?|MDmisc.c
0x9961c	.bssbe	4	4	1	?|MDmisc.c
0x99620	.bssbe	4	6	4	?|MDmisc.c;hash.c
0x99624	.bssbe	4	5	3	?|MDmisc.c
0x99628	.bssbe	4	2	4	?|MDmisc.c;hash.c
0x9962c	.bssbe	4	1	1	?|MDmisc.c
0x99648	.bssbe	4	2	2	?|MDmisc.c
0x9964c	.bssbe	4	4	4	MDmisc.c;coff.c;p2symtab.c
0x99650	.bssbe	4	1	1	coff.c
0x99654	.bssbe	4	8	4	coff.c;coff.c|coffemit.c
0x99658	.bssbe	4	2	1	?|MDmisc.c
0x9965c	.bssbe	4	1	1	?|MDmisc.c
0x99660	.bssbe	4	1	1	coff.c
0x99664	.bssbe	4	1	1	?|MDmisc.c
0x99668	.bssbe	4	1	1	?|MDmisc.c
0x9966c	.bssbe	4	1	1	coff.c
0x99670	.bssbe	4	2	4	MDmisc.c;coff.c;p2symtab.c
0x99674	.bssbe	4	2	1	?|MDmisc.c
0x99678	.bssbe	4	2	1	?|MDmisc.c
0x9967c	.bssbe	4	1	1	?|MDmisc.c
0x99680	.bssbe	4	2	0	-
0x99684	.bssbe	4	1	0	-
0x996c0	.bssbe	4	3	1	?|MDmisc.c
0x996c4	.bssbe	4	3	3	?|MDmisc.c;coff.c
0x996c8	.bssbe	4	1	1	?|MDmisc.c
0x996cc	.bssbe	4	1	1	coff.c
0x996d0	.bssbe	1	4	1	?|MDmisc.c
0x996d4	.bssbe	4	25	1	?|MDmisc.c
0x996d8	.bssbe	0	3	0	-
0x997d8	.bssbe	4	1	1	coffemit.c
0x997dc	.bssbe	4	0	1	coffemit.c
0x99828	.bssbe	4	1	1	?|MDmisc.c
0x9982c	.bssbe	4	1	1	coffemit.c
0x99830	.bssbe	4	0	1	?|MDmisc.c
0x99834	.bssbe	0	2	0	-
0x998b4	.bssbe	4	2	1	?|MDmisc.c
0x998b8	.bssbe	4	3	1	?|MDmisc.c
0x998bc	.bssbe	4	1	1	coffemit.c|p2symtab.c
0x998c0	.bssbe	0	1	0	-
0x998dc	.bssbe	4	1	1	?|MDmisc.c
0x998e0	.bssbe	4	5	2	?|MDmisc.c
0x998f0	.bssbe	4	19	4	?|MDmisc.c;coffemit.c
0x998f4	.bssbe	4	10	3	?|MDmisc.c;coffemit.c
0x998f8	.bssbe	4	3	4	?|MDmisc.c;coffemit.c
0x998fc	.bssbe	4	1	2	?|MDmisc.c;coffemit.c
0x99900	.bssbe	4	4	5	coffemit.c;coffemit.c|p2symtab.c
0x99904	.bssbe	4	4	4	coffemit.c;coffemit.c|p2symtab.c
0x99908	.bssbe	4	2	4	coffemit.c;coffemit.c|p2symtab.c
0x9990c	.bssbe	4	1	2	coffemit.c
0x99910	.bssbe	4	1	3	coffemit.c;coffemit.c|p2symtab.c
0x99918	.bssbe	4	13	1	?|MDmisc.c
0x99920	.bssbe	4	2	1	?|MDmisc.c
0x99924	.bssbe	4	2	2	?|MDmisc.c
0x99928	.bssbe	0	2	0	-
0x9992c	.bssbe	1	0	2	?|MDmisc.c;p2symtab.c
0x99940	.bssbe	4	0	1	?|MDmisc.c
0x99950	.bssbe	4	0	1	?|MDmisc.c
0x9996a	.bssbe	1	0	1	?|MDmisc.c
0x999a4	.bssbe	4	5	1	?|MDmisc.c
0x999a5	.bssbe	1	1	0	-
0x999a8	.bssbe	4	0	1	?|MDmisc.c
0x999a9	.bssbe	1	0	1	?|MDmisc.c
0x9a1c4	.bssbe	4	5	3	?|MDmisc.c;p2symtab.c|reader.c
0x9a1c8	.bssbe	4	3	4	?|MDmisc.c;p2symtab.c;p2symtab.c|reader.c
0x9a1cc	.bssbe	4	6	3	?|MDmisc.c
0x9a1d0	.bssbe	4	1	1	?|MDmisc.c
0x9a1d8	.bssbe	4	15	1	?|MDmisc.c
0x9a1dc	.bssbe	4	3	1	?|MDmisc.c
0x9a1e0	.bssbe	4	0	1	?|MDmisc.c
0x9b1dc	.bssbe	4	1	1	?|MDmisc.c
0x9b1e0	.bssbe	4	3	3	?|MDmisc.c;p2symtab.c
0x9b1e1	.bssbe	4	3	3	?|MDmisc.c;p2symtab.c
0x9b1e2	.bssbe	1	3	2	?|MDmisc.c;p2symtab.c
0x9b1e4	.bssbe	4	0	3	?|MDmisc.c;p2symtab.c
0x9b1e5	.bssbe	4	0	3	?|MDmisc.c;p2symtab.c
0x9b1e6	.bssbe	1	1	1	?|MDmisc.c
0x9b1e7	.bssbe	0	1	0	-
0x9b9fe	.bssbe	1	0	1	?|MDmisc.c
0x9ba00	.bssbe	4	1	1	?|MDmisc.c
0x9ba04	.bssbe	0	2	0	-
0x9ba08	.bssbe	4	0	1	?|MDmisc.c
0x9ba14	.bssbe	4	1	1	?|MDmisc.c
0x9ba18	.bssbe	4	5	0	-
0x9ba1c	.bssbe	4	1	0	-
0x9bc18	.bssbe	0	1	0	-
0x9bc1c	.bssbe	4	2	1	?|MDmisc.c
0x9bc20	.bssbe	4	1	2	?|MDmisc.c
0x9bc24	.bssbe	4	2	1	?|MDmisc.c
0x9bc28	.bssbe	4	1	1	?|MDmisc.c
0x9bc2c	.bssbe	4	4	2	?|MDmisc.c
0x9bc30	.bssbe	4	1	2	?|MDmisc.c
0x9bc34	.bssbe	4	8	2	?|MDmisc.c
0x9bc38	.bssbe	4	9	6	?|MDmisc.c;reader.c
0x9bc3c	.bssbe	4	1	3	?|MDmisc.c
0x9bc40	.bssbe	1	1	4	?|MDmisc.c;reader.c
0x9bc44	.bssbe	4	3	3	?|MDmisc.c
0x9bc48	.bssbe	4	4	1	?|MDmisc.c
0x9bc4c	.bssbe	4	2	2	?|MDmisc.c
0x9bc50	.bssbe	4	25	2	?|MDmisc.c
0x9bc54	.bssbe	4	1	2	?|MDmisc.c;reader.c
0x9bc58	.bssbe	4	2	2	?|MDmisc.c;reader.c
0x9bc5c	.bssbe	4	1	2	?|MDmisc.c
0x9bc60	.bssbe	4	2	3	?|MDmisc.c
0x9bc64	.bssbe	4	1	2	?|MDmisc.c;reader.c
0x9bc68	.bssbe	4	1	2	?|MDmisc.c
0x9bc6c	.bssbe	4	1	2	?|MDmisc.c
0x9bc70	.bssbe	4	1	2	?|MDmisc.c
0x9bc74	.bssbe	4	1	2	?|MDmisc.c
0x9bc78	.bssbe	4	0	1	?|MDmisc.c
0x9bc7c	.bssbe	4	1	2	?|MDmisc.c
0x9bc80	.bssbe	4	6	1	?|MDmisc.c
0x9bc84	.bssbe	4	2	3	?|MDmisc.c
0x9bc88	.bssbe	4	1	2	?|MDmisc.c
0x9bc8c	.bssbe	4	3	3	?|MDmisc.c;reader.c|fg.c
0x9bc90	.bssbe	4	11	2	?|MDmisc.c
0x9bc94	.bssbe	4	1	2	?|MDmisc.c
0x9bc98	.bssbe	4	2	2	?|MDmisc.c
0x9bc9c	.bssbe	4	5	3	?|MDmisc.c;sdsu.c|except.c
0x9bca0	.bssbe	0	2	0	-
0x9bcf0	.bssbe	4	1	2	?|MDmisc.c
0x9bcf4	.bssbe	4	2	3	?|MDmisc.c
0x9bcf8	.bssbe	4	3	4	?|MDmisc.c;ehexcept.c
0x9bcfc	.bssbe	4	5	2	?|MDmisc.c
0x9bd00	.bssbe	4	5	2	?|MDmisc.c
0x9bd04	.bssbe	4	4	2	?|MDmisc.c
0x9bd08	.bssbe	4	0	2	?|MDmisc.c
0x9bd84	.bssbe	4	1	2	?|MDmisc.c
0x9bd88	.bssbe	4	15	5	?|MDmisc.c
0x9bd8c	.bssbe	4	1	2	?|MDmisc.c
0x9bd90	.bssbe	4	5	4	?|MDmisc.c
0x9bd94	.bssbe	4	4	3	?|MDmisc.c
0x9bd98	.bssbe	4	6	4	?|MDmisc.c
0x9bd9c	.bssbe	4	4	5	?|MDmisc.c;ehexcept.c;ehexcept.c|regasg.c;except.c;except.c|ehexcept.c
0x9bda0	.bssbe	4	1	2	?|MDmisc.c;except.c|ehexcept.c
0x9bda4	.bssbe	4	2	2	?|MDmisc.c
0x9bda8	.bssbe	4	7	5	?|MDmisc.c;ehexcept.c;except.c|ehexcept.c
0x9bdac	.bssbe	4	3	3	?|MDmisc.c;ehexcept.c|regasg.c;except.c|ehexcept.c
0x9bdb0	.bssbe	4	2	2	?|MDmisc.c;except.c|ehexcept.c
0x9bdb8	.bssbe	0	2	0	-
0x9bdbc	.bssbe	0	1	0	-
0x9bdc0	.bssbe	0	2	0	-
0x9bdc4	.bssbe	0	7	0	-
0x9bdc5	.bssbe	0	4	0	-
0x9bdc8	.bssbe	2	0	1	?|MDmisc.c
0x9bdcc	.bssbe	4	0	1	?|MDmisc.c
0x9bdd0	.bssbe	4	0	1	?|MDmisc.c
0x9bdd4	.bssbe	1	0	1	?|MDmisc.c
0x9bdd5	.bssbe	1	0	1	?|MDmisc.c
0x9d658	.bssbe	4	1	1	?|MDmisc.c
0x9d65c	.bssbe	4	1	1	?|MDmisc.c
0x9d660	.bssbe	4	8	1	?|MDmisc.c
0x9d664	.bssbe	4	8	5	?|MDmisc.c;ehexcept.c|regasg.c
0x9d668	.bssbe	4	2	1	?|MDmisc.c
0x9d66c	.bssbe	4	2	2	?|MDmisc.c
0x9d670	.bssbe	4	23	16	?|MDmisc.c;ehexcept.c|regasg.c
0x9d674	.bssbe	4	7	2	?|MDmisc.c
0x9d678	.bssbe	4	9	1	?|MDmisc.c
0x9d67c	.bssbe	4	1	2	?|MDmisc.c;ehexcept.c|regasg.c
0x9d680	.bssbe	4	5	1	?|MDmisc.c
0x9d684	.bssbe	4	14	1	?|MDmisc.c
0x9d688	.bssbe	4	14	2	?|MDmisc.c
0x9d68c	.bssbe	4	1	1	?|MDmisc.c
0x9d690	.bssbe	4	2	1	?|MDmisc.c
0x9d694	.bssbe	4	4	1	?|MDmisc.c
0x9d698	.bssbe	4	2	2	?|MDmisc.c
0x9d69c	.bssbe	4	1	2	?|MDmisc.c;ehexcept.c|regasg.c
0x9d6a0	.bssbe	4	4	1	?|MDmisc.c
0x9d6a4	.bssbe	4	1	2	?|MDmisc.c;ehexcept.c|regasg.c
0x9d6a8	.bssbe	4	3	1	?|MDmisc.c
0x9d6ac	.bssbe	4	2	1	?|MDmisc.c
0x9d6b0	.bssbe	4	10	1	?|MDmisc.c
0x9d6b4	.bssbe	4	2	2	?|MDmisc.c;ehexcept.c|regasg.c
0x9d6bc	.bssbe	4	3	1	?|MDmisc.c
0x9d6c0	.bssbe	4	1	1	?|MDmisc.c
0x9d6c4	.bssbe	4	2	2	?|MDmisc.c
0x9d6c8	.bssbe	0	6	0	-
0x9d6cc	.bssbe	4	4	1	?|MDmisc.c
0x9d6d0	.bssbe	4	4	0	-
0x9d6e0	.bssbe	4	2	0	-
0x9d6e4	.bssbe	4	2	0	-
0x9d6e8	.bssbe	4	2	0	-
0x9d6ec	.bssbe	4	10	1	?|MDmisc.c
0x9d6f0	.bssbe	4	5	3	?|MDmisc.c;regasg.c|list.c
0x9d6f4	.bssbe	4	5	1	?|MDmisc.c
0x9d6f8	.bssbe	4	1	0	-
0x9d708	.bssbe	4	1	0	-
0x9d710	.bssbe	4	1	2	?|MDmisc.c
0x9d714	.bssbe	1	1	1	regasg.c|list.c
0x9d718	.bssbe	4	4	3	regasg.c|list.c
0x9d71c	.bssbe	4	1	1	regasg.c|list.c
0x9d720	.bssbe	4	3	4	regasg.c|list.c
0x9d724	.bssbe	4	5	2	?|MDmisc.c;regasg.c|list.c
0x9d728	.bssbe	4	6	8	list.c;mdlist.c;regasg.c|list.c
0x9d72c	.bssbe	4	2	1	regasg.c|list.c
0x9d730	.bssbe	4	2	1	regasg.c|list.c
0x9d734	.bssbe	4	2	1	regasg.c|list.c
0x9d738	.bssbe	4	1	1	regasg.c|list.c
0x9d73c	.bssbe	4	1	0	-
0x9d740	.bssbe	0	1	0	-
0x9d744	.bssbe	4	2	2	regasg.c|list.c
0x9d748	.bssbe	4	3	3	dbcheck.c;list.c|dbcheck.c
0x9d74c	.bssbe	4	1	2	?|MDmisc.c
0x9d750	.bssbe	4	3	1	?|MDmisc.c
0x9d754	.bssbe	4	1	1	?|MDmisc.c
0x9d850	.bssbe	4	3	1	?|MDmisc.c
0x9d854	.bssbe	4	4	1	?|MDmisc.c
0x9d858	.bssbe	4	3	1	?|MDmisc.c
0x9d85c	.bssbe	4	6	1	?|MDmisc.c
0x9d860	.bssbe	4	2	1	?|MDmisc.c
0x9d864	.bssbe	4	4	5	?|MDmisc.c;dbcheck.c|color.c
0x9d868	.bssbe	4	1	1	?|MDmisc.c
0x9d86c	.bssbe	4	1	1	?|MDmisc.c
0x9d88c	.bssbe	4	7	1	?|MDmisc.c
0x9d890	.bssbe	4	3	1	?|MDmisc.c
0x9d894	.bssbe	0	2	0	-
0x9e88c	.bssbe	4	5	2	?|MDmisc.c
0x9e890	.bssbe	4	3	1	?|MDmisc.c
0x9e894	.bssbe	4	2	1	?|MDmisc.c
0x9e898	.bssbe	4	0	1	?|MDmisc.c
0x9f090	.bssbe	4	1	2	?|MDmisc.c;color.c|globdf.c
0x9f094	.bssbe	4	0	1	?|MDmisc.c
0x9f098	.bssbe	4	1	1	?|MDmisc.c
0x9f09c	.bssbe	4	1	2	?|MDmisc.c;color.c|globdf.c
0x9f0a0	.bssbe	4	1	1	?|MDmisc.c
0x9f0a4	.bssbe	4	3	3	?|MDmisc.c;globdf.c
0x9f0a8	.bssbe	4	3	1	?|MDmisc.c
0x9f0ac	.bssbe	4	2	1	?|MDmisc.c
0x9f0b0	.bssbe	4	3	2	?|MDmisc.c
0x9f0b4	.bssbe	4	3	1	?|MDmisc.c
0x9f0b8	.bssbe	4	1	1	?|MDmisc.c
0x9f0bc	.bssbe	4	4	1	?|MDmisc.c
0x9f0c0	.bssbe	4	3	1	?|MDmisc.c
0x9f0c4	.bssbe	4	2	1	?|MDmisc.c
0x9f0c8	.bssbe	4	3	2	?|MDmisc.c
0x9f0cc	.bssbe	4	4	1	?|MDmisc.c
0x9f0d0	.bssbe	4	2	1	?|MDmisc.c
0x9f0d4	.bssbe	4	2	1	?|MDmisc.c
0x9f0d8	.bssbe	4	1	1	?|MDmisc.c
0x9f0dc	.bssbe	4	3	1	?|MDmisc.c
0x9f0e0	.bssbe	4	1	8	?|MDmisc.c;globdf.c|globopt.c
0x9f0e4	.bssbe	4	1	1	?|MDmisc.c
0x9f0e8	.bssbe	4	4	3	?|MDmisc.c
0x9f0ec	.bssbe	4	13	1	?|MDmisc.c
0x9f0f0	.bssbe	4	0	1	?|MDmisc.c
0x9f0f4	.bssbe	4	2	1	?|MDmisc.c
0x9f0f8	.bssbe	4	1	2	?|MDmisc.c
0x9f0fc	.bssbe	4	2	1	?|MDmisc.c
0x9f100	.bssbe	4	1	1	?|MDmisc.c
0x9f104	.bssbe	4	1	1	?|MDmisc.c
0x9f108	.bssbe	4	6	4	?|MDmisc.c
0x9f10c	.bssbe	4	2	2	?|MDmisc.c
0x9f110	.bssbe	4	5	7	?|MDmisc.c
